SPINE_SHOULDER,0,0,0.183547,0.346720,0.104557
SPINE_MID,1,0,0.180768,0.541853,0.182301
SPINE_HIP,2,1,0.177417,0.777141,0.127423
LEFT_HIP,3,2,0.236453,0.775478,0.127423
LEFT_KNEE,4,3,0.317523,0.734320,0.058969
LEFT_HIND_PAW,5,4,0.275616,0.906139,0.040721
RIGHT_HIP,6,2,0.121707,0.776310,0.127423
RIGHT_KNEE,7,6,0.041052,0.752197,0.040721
RIGHT_HIND_PAW,8,7,0.089545,0.913240,0.040721
ROOT_TAIL,9,2,0.176219,0.916632,0.101680
NECK,10,0,0.184660,0.268567,0.128670
NOSE,11,10,0.186939,0.108522,0.060904
LEFT_SHOULDER,12,0,0.246407,0.301819,0.104557
LEFT_ELBOW,13,12,0.306275,0.304812,0.046974
LEFT_FORE_PAW,14,13,0.303281,0.164723,0.041546
RIGHT_SHOULDER,15,0,0.125475,0.303016,0.104557
RIGHT_ELBOW,16,15,0.057825,0.339536,0.046974
RIGHT_FORE_PAW,17,16,0.072792,0.207229,0.043371
